List of GSM companies w.e.f 06.06.2019,,
Sr. No.,Security Name,ISIN
270,IMC Finance Ltd,INE170F01012
271,Impex Ferro Tech Ltd,INE691G01015
272,Inceptum Enterprises Ltd,INE784P01035
273,Incon Engineers Ltd,INE507D01010
274,Indergiri Finance Ltd,INE628F01019
275,India Lease Development Ltd,INE333C01013
276,Indian Bright Steel Company Ltd,INE566M01017
277,Indo Asia Finance Ltd,INE807A01010
278,Indo Cotspin Ltd,INE407P01017
279,Indo Credit Capital Ltd,INE147D01015
280,Indo-Global Enterprises Ltd,INE400S01016
281,Indra Industries Ltd,INE924N01016
282,Indrayani Biotech Ltd,INE007C01021
283,Indsoya Ltd,INE314N01010
284,Indus Finance Ltd,INE935D01013
285,Inertia Steel Ltd,INE767M01011
286,Infomedia Press Ltd,INE669A01022
287,Infra Industries Ltd,INE287D01019
288,Infraquest International Ltd,INE786B01022
289,Infronics Systems Ltd,INE463B01036
290,Universal Credit & Securities Ltd,INE607F01039
291,Innocorp Ltd,INE214B01017
292,Innovation Software Exports Ltd,INE568B01016
293,Innoventive Venture Ltd,INE322N01013
294,Integra Capital Management Ltd,INE366H01012
295,Integra Garments And Textiles Ltd,INE418N01027
296,Integra Switchgear Ltd,NA
297,Integra Telecommunication & Software Ltd,INE256F01019
298,Integrated Capital Services Ltd,INE682B01023
299,Integrated Proteins Ltd,INE177M01013
300,Integrated Technologies Ltd,INE882B01029
301,Integrated Thermoplastics Ltd,INE038N01015
302,Intellivate Capital Advisors Ltd,INE176N01021
303,Intellivate Capital Ventures Ltd,INE512D01028
304,Interface Financial Services Ltd,INE778C01027
305,Interlink Petroleum Ltd,INE959G01016
306,International Data Management Ltd,INE649R01010
307,Invicta Meditek Ltd,INE537B01011
308,IO System Ltd,INE502D01011
309,I-Power Solutions India Ltd,INE468F01010
310,Ishaan Infrastructures and Shelters Ltd,INE818R01011
311,Ishwarshakti Holdings & Traders Ltd,INE073I01012
312,Generic Pharmasec Ltd,INE861N01036
313,iStreet Network Ltd,INE532B01020
314,Jagson Airlines Ltd,INE685B01018
315,Jaihind Projects Ltd,INE343D01010
316,Jaihind Synthetics Ltd,INE156E01014
317,Jain Marmo Industries Ltd,INE780Q01015
318,Jay Energy & S Energies Ltd,INE315L01029
319,JCT Electronics Ltd,INE264B01020
320,JD Orgochem Ltd,INE263B01022
